,name,description,host_name,host_response_time,host_response_rate,neighbourhood,room_type,accommodates,amenities,price,has_availability,review_accuracy,cleanliness,location_review,good_property,longitude,latitude
90,Correos- space & style flat in Born,"In the heart of Barcelona, just in front of Port Vell and the historic Post Office building of Via Laietana you will find a majestic building built in XIX century where our 1840 Serviced Apartments agency holds 25 apartments with a spectacular views of the city and the port. The combination of XIX majestic decorations of high ceilings and modernity gives a touch of elegance to each floor.<br /><br /><b>The space</b><br />This apartment Correos is situated on the 3rd floor of the building in Passeig Isabel II. The combination of antique and modern details as well as furnitures, creates a charming and unique atmosphere in the apartment. It has 3 spacious bedrooms (6 individual beds), 2 bathrooms with a capacity of 6 people perfectly suitable for families and groups. Balcony for you to enjoy opens a magnificent views of the city.<br /><br /><b>Guest access</b><br />The client has access to all the apartment.<br /><br /><b>Other things to note</b><br />The price includes: supplies (water, ",Mafe,within an hour,77%,"Barcelona, Catalonia, Spain",Entire home/apt,6,"[""Elevator"", ""Refrigerator"", ""Stove"", ""Wifi"", ""Host greets you"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Shampoo"", ""Coffee maker"", ""Dishwasher"", ""Bed linens"", ""High chair"", ""TV"", ""Paid parking on premises"", ""Waterfront"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Essentials"", ""Dishes and silverware"", ""Microwave"", ""Pool"", ""Paid parking off premises"", ""Cooking basics"", ""Crib"", ""Hair dryer"", ""Smoke alarm"", ""Dryer"", ""Carbon monoxide alarm"", ""Hangers"", ""Oven"", ""Kitchen"", ""Iron"", ""Heating"", ""Dedicated workspace"", ""Long term stays allowed""]",185.0,t,10.0,10.0,10.0,T,2.1827,41.381440000000005
91,Llotja -Luxury & Art by the harbour,"In the heart of Barcelona, just in front of Port Vell and the historic Post Office building of Via Laietana you will find a majestic building built in XIX century where our 1840 Serviced Apartments agency holds 25 apartments with a spectacular views of the city and the port. The combination of XIX majestic decorations of high ceilings and modernity gives a touch of elegance to each floor.<br /><br /><b>The space</b><br />This apartment Llotja is situated on the 2nd floor of the building in Passeig Isabel II. The combination of antique and modern details as well as furnitures, creates a charming and unique atmosphere in the apartment. It has 3 spacious bedrooms (6 individual beds), 2 bathrooms with a capacity of 6 people perfectly suitable for families and groups. Balcony for you to enjoy, opens a magnificent views of the city.<br /><br /><b>Guest access</b><br />The client has an access to the all apartment.<br /><br /><b>Other things to note</b><br />The price includes: supplies (wate",Mafe,within an hour,77%,"Barcelona, Catalonia, Spain",Entire home/apt,6,"[""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""High chair"", ""Paid parking on premises"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Smoke alarm"", ""Oven"", ""Dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Paid parking off premises"", ""Wifi"", ""Waterfront"", ""Refrigerator"", ""Heating"", ""Patio or balcony"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Garden or backyard"", ""Dishes and silverware"", ""Carbon monoxide alarm"", ""Bed linens"", ""Building staff"", ""Essentials"", ""Pool"", ""TV"", ""Fire extinguisher"", ""Stove""]",185.0,t,10.0,10.0,10.0,T,2.1827,41.381440000000005
92,CONDAL-Luxury & Art next to harbour,"In the heart of Barcelona, just in front of Port Vell and the historic Post Office building of Via Laietana you will find a majestic building built in XIX century where our 1840 Serviced Apartments agency holds 25 apartments with a spectacular views of the city and the port. The combination of XIX majestic decorations of high ceilings and modernity gives a touch of elegance to each floor.<br /><br /><b>The space</b><br />This apartment Condal is situated on the 1st floor of the building in Passeig Isabel II. The combination of antique and modern details as well as furnitures, creates a charming and unique atmosphere in the apartment. It has 3 spacious bedrooms (6 individual beds), 2 bathrooms with a capacity of 6 people perfectly suitable for families and groups. Balcony for you to enjoy, opens a magnificent views of the city.<br /><br /><b>Guest access</b><br />The client has an access to the all apartment.<br /><br /><b>Other things to note</b><br />The price includes: supplies (wate",Mafe,within an hour,77%,"Barcelona, Catalonia, Spain",Entire home/apt,6,"[""Elevator"", ""Refrigerator"", ""Stove"", ""Wifi"", ""Host greets you"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Shampoo"", ""Coffee maker"", ""Dishwasher"", ""Bed linens"", ""High chair"", ""TV"", ""Paid parking on premises"", ""Waterfront"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Essentials"", ""Dishes and silverware"", ""Microwave"", ""Pool"", ""Paid parking off premises"", ""Cooking basics"", ""Crib"", ""Hair dryer"", ""Smoke alarm"", ""Dryer"", ""Carbon monoxide alarm"", ""Hangers"", ""Oven"", ""Kitchen"", ""Iron"", ""Heating"", ""Dedicated workspace"", ""Long term stays allowed""]",185.0,t,10.0,10.0,10.0,T,2.1827,41.381440000000005
93,Casa Cosi - Putxet,"Casa Cosi Putxet is a charming apartment of 100m2 including a terrace of 30m2. The huge terrace will amaze you! Nicely furnished and decorated, you will be able to use it almost year round thanks to Barcelona’s fine weather. Completely renovated, this fully-equipped apartment keeps its authenticity with its ancient tiles and famous Catalan vaults.<br /><br /><b>The space</b><br />In fact, like all Casa Cosi apartments, Casa Cosi Putxet has been furnished and decorated in order to create a cozy atmosphere. Fully air conditioned it has one bathroom and 3 sunny bedrooms. Ideal for a family holiday, it can accommodate up to 6 persons.<br /><br /><b>License number</b><br />HUTB-004335",Casa Cosi,within a few hours,96%,"Barcelona, Catalunya, Spain",Entire home/apt,6,"[""Kitchen"", ""Microwave"", ""Long term stays allowed"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Oven"", ""Dryer"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Baking sheet"", ""Patio or balcony"", ""Hair dryer"", ""Air conditioning"", ""Garden or backyard"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""TV"", ""Stove""]",185.0,t,10.0,10.0,10.0,T,2.14709,41.40364
94,ROOMY EIXAMPLE URGELL,"Typical Barcelone´s Eixample Appartment of130 m² and is located in a building with elevator (floor: main). Close to the apartment transport: Bus, train and Metro: L1 (Urgell and Sants).<br />This spacious five-bedroom apartment in Barcelona, located in the picturesque neighborhood of Eixample is the ideal base for your trip to the Catalan capital. Accommodates 8 people<br /><br /><b>The space</b><br />The apartment has approximately 130 m² and is located in a building with elevator (floor: main). Close to the apartment transport: Bus, train and Metro: L1 (Urgell and Sants).<br />This spacious five-bedroom apartment in Barcelona, located in the picturesque neighborhood of Eixample is the ideal base for your trip to the Catalan capital. The area offers a slightly quieter experience than to be found in the bustling city center, but maintains easy access to all of the sights in and around the Catalan capital. Able to accommodate up to 8 people.<br /><br />The apartment welcomes guests upon",Manuel,within a few hours,99%,"Barcelona, Catalonia, Spain",Entire home/apt,9,"[""Elevator"", ""Refrigerator"", ""Stove"", ""Wifi"", ""Building staff"", ""Children\u2019s books and toys"", ""Fire extinguisher"", ""Patio or balcony"", ""Shampoo"", ""Coffee maker"", ""Dishwasher"", ""High chair"", ""TV"", ""Paid parking on premises"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Essentials"", ""Dishes and silverware"", ""Microwave"", ""Pack \u2019n Play/travel crib"", ""Paid parking off premises"", ""Cooking basics"", ""Crib"", ""Hair dryer"", ""Dryer"", ""Hangers"", ""Oven"", ""Kitchen"", ""Iron"", ""Free street parking"", ""Heating"", ""Dedicated workspace"", ""Long term stays allowed""]",185.0,t,9.0,9.0,10.0,T,2.15663,41.3838
95,Casa Cosi - Mallorca 3,"Casa Cosi - Mallorca 3 is ideally located in the central Eixample district, just in front of Mercat del Ninot, a huge market perfect to go grocery shopping. It is the best district to live in to experience the real Barcelona’s lifestyle. The Eixample district is a very lively neighborhood filled with art galleries, trendy restaurants, cafes and bars which makes it popular among tourists and locals alike.<br /><br /><b>The space</b><br />Located on the first floor, this 85m2 apartment is big enough to welcome up to 7 persons. It has 4 bedrooms (three of them have queen-size beds and the last one has a single bed) and 2 full bathrooms. Casa Cosi - Mallorca 3 also has a beautiful terrace that you can use to relax after a long day of sightseeing. The apartment has been furnished and decorated in order to create a cozy atmosphere. The living room is spacious and the kitchen is fully equipped so you can cook for the entire family. Perfect for big groups, you will love staying at Casa Cosi - ",Casa Cosi,within a few hours,96%,"Barcelona, Catalunya, Spain",Entire home/apt,7,"[""Kitchen"", ""Microwave"", ""Elevator"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Oven"", ""Dryer"", ""Washer"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Patio or balcony"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""TV"", ""Stove""]",184.0,t,9.0,9.0,9.0,T,2.15388,41.38883
96,VIDRE HOME PLAZA REAL on LAS RAMBLAS,"Spacious apartment for large families or groups of friends, modernly equipped. Four double bedrooms, one extra bed for groups up to Nine guests;  Three bathrooms with shower, WC and sink. Fully equipped kitchen with dishwasher.Comfort mattresses, acoustic isolation, powerful Air-Conditioning with separate units in each room,WiFi. Second floor with Elevator.<br />TOURIST LICENCE HUTB 00150671<br /><br /><b>The space</b><br />Large apartment in the center of Barcelona, next to Placa Real, on the Ramblas, into the heart of the Gothic Quarter; it has Four double bedrooms, Three bathrooms with shower, a living room with american kitchen; 115 m² big and up to 9 guests.<br />Air conditioning with a separate unit with remote control in each room, Heating system, Bed sheets, blankets and towels provided for each guest.<br />Internet Wi-Fi in the whole apartment.<br />Fully equipped kitchen with dishwasher, oven, stove, microwave, coffee machine, toaster and more.  <br />There is a balcony in th",Andres,within a few hours,90%,"Barcelona, Catalonia, Spain",Entire home/apt,9,"[""Elevator"", ""Refrigerator"", ""Stove"", ""Wifi"", ""Host greets you"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Shampoo"", ""Coffee maker"", ""Dishwasher"", ""Bed linens"", ""High chair"", ""Private entrance"", ""TV"", ""Paid parking on premises"", ""First aid kit"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Essentials"", ""Dishes and silverware"", ""Microwave"", ""Paid parking off premises"", ""Cooking basics"", ""Crib"", ""Hair dryer"", ""Smoke alarm"", ""Dryer"", ""Carbon monoxide alarm"", ""Extra pillows and blankets"", ""Hangers"", ""Cleaning before checkout"", ""Cable TV"", ""Oven"", ""Kitchen"", ""Iron"", ""Heating"", ""Dedicated workspace"", ""Long term stays allowed""]",183.0,t,10.0,9.0,10.0,T,2.17623,41.37978
97,Elegant 4 bedroom apartment near Plaza Cataluña,"Tivoli is an elegant 140m2 apartment, located on the fifth floor of the building with elevator, can accommodate up to 8 people, which makes it the perfect choice for a large family or group of friends.<br /><br />It consists of four bedrooms and three bathrooms with shower. Each room offers ample storage space for your convenience. There is a double room with a double bed, a double room and two single rooms. The spacious living room, with large windows, includes two comfortable sofas, one of them with double sofa bed, TV, computer with internet access and a dining room for 8 people, perfect for relaxing after a busy day of sightseeing. The kitchen is fully equipped with cooking utensils during the stay.<br /><br />Tivoli Apartments has a very warm and welcoming atmosphere, with its contemporary decoration and parquet floors.<br /><br />Important: <br />-Parties in the apartment are strictly not permitted.<br />-It is very important to respect the noise level (people, music) during the ",Habitat Apartments,within an hour,94%,"Barcelona, Spain",Entire home/apt,8,"[""Elevator"", ""Oven"", ""Wifi"", ""Washer"", ""Air conditioning"", ""Essentials"", ""Crib"", ""TV"", ""Kitchen"", ""Shampoo"", ""Iron"", ""Coffee maker"", ""Dishwasher"", ""Hair dryer"", ""Dryer"", ""Heating"", ""Microwave""]",182.0,t,6.0,8.0,9.0,F,2.1738,41.388729999999995
98,Alaia 41 - Habitat Apartments,"This apartment is located in the central Eixample area full of bars, restaurants, stores and architectural spots. It preserves the traditional high ceiling, exposed wooden beams, big windows and balconies, yet it was recently renovated. Accommodating 5 people, the apartment has a spacious living room connected with a fully equipped kitchen and a dining area, two double bedrooms, a single bedroom and two bathrooms. The apartment features typical Eixample neighborhood balconies.   <br /><br />COVID-19 prevention:<br />Habitat Apartments complies with the Cleaning and Security protocols contained in the Order of the Ministry of Health SND/399/020, of May 9 regarding COVID-19. These protocols regulate:<br /> 1) The cleaning to be carried out in the apartments with appropriate products, replacement and cleaning of textiles.<br /> 2) The security and prevention measures of the staff of Habitat Apartments and of our clients.<br /> 3) The necessary information to our clients about the competen",Habitat Apartments,within an hour,94%,"Barcelona, Spain",Entire home/apt,5,"[""Crib"", ""Kitchen"", ""Microwave"", ""Elevator"", ""Hair dryer"", ""Shampoo"", ""Air conditioning"", ""Washer"", ""TV"", ""High chair"", ""Dishwasher"", ""Wifi"", ""Oven"", ""Patio or balcony"", ""Essentials""]",181.0,t,10.0,9.0,10.0,T,2.15865,41.39358
99,LUX HOUSE 8 camas con 2 TERRAZAS Y PARKING- 2747,"Exquisito apartamento cuyo relajante y ensoñador diseño, junto su práctica distribución, lo hace ideal para familias o grupos de amigos. Al entrar, atravesarás un pasillo con suelos de cerámica que conduce a las habitaciones, cada una diseñada con un estilo minimalista y completadas con cómodas camas, mesitas de noche y armarios. A continuación llegarás a una amplia zona común, dividida en un salón con sofás, y un elegante espacio que hace a la vez de comedor y cuenta con una mesa de cristal.<br /><br /><b>The space</b><br />La preciosa cocina presenta un diseño de mármol, y está totalmente equipada para cocinar en casa. Tendrás también acceso a 2 terrazas privadas: una accesible desde la entrada, cuenta con una mesa perfecta para cenar al aire libre, y la otra, accesible desde el comedor, posee cómodos sofás de tipo lounge.<br /><br /><b>License number</b><br />HUTB-012677",Alba,within an hour,99%,"Barcelona, Catalunya, Spain",Entire home/apt,8,"[""Kitchen"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Long term stays allowed"", ""Hair dryer"", ""Air conditioning"", ""Hot water"", ""Washer"", ""Shampoo"", ""Dedicated workspace"", ""TV"", ""Wifi"", ""Hangers"", ""Iron"", ""Private entrance"", ""Heating"", ""Host greets you"", ""Essentials""]",180.0,t,6.0,5.0,5.0,F,2.1606799999999997,41.41725
100,Quiet & cosy apartment next to Magic Fountain,"Blanca 4 apartment is ideal for a relaxing holiday away from the noise of the city center. With easy access to public transport. <br /><br />The predominant white color all over the place, small details in its decoration and modern amenities including will welcome you to an unforgettable stay. His lovely balconies will become the ideal place to spend the afternoon and relax after a day of sightseeing.<br /><br />It has two bedrooms, each with double bed and large closet. The first room with balcony overlooking the street Riera Blanca. One bathroom with shower.<br /><br />Large living room with double sofa bed, dining for 6 and a fully equipped open kitchen. Balcony with table and chairs and small balcony in front of the kitchen. <br /><br />Additional Information:-Smart TV<br />-Balconies with table and chairs<br />-High Speed WIFI Network System<br /><br />NOTE: There is parking nearby, only 100 meters from the apartment  <br /><br />COVID-19 prevention:<br />Habitat Apartments compli",Habitat Apartments,within an hour,94%,"Barcelona, Spain",Entire home/apt,5,"[""Crib"", ""Elevator"", ""Kitchen"", ""Microwave"", ""Coffee maker"", ""Hair dryer"", ""Air conditioning"", ""Bathtub"", ""Washer"", ""Shampoo"", ""Cable TV"", ""TV"", ""High chair"", ""Dishwasher"", ""Iron"", ""Oven"", ""Heating"", ""Patio or balcony"", ""Essentials""]",179.0,t,9.0,9.0,9.0,T,2.12747,41.3718
101,Luxury 2 bed suite with courtyard in city-centre,"Spacious 2 bedroom / 2 bathroom apartment with private terrace in the city centre. Close to Las Ramblas and all major sights.<br /><br /><b>The space</b><br />Spacious 2 bedroom / 2 bathroom apartment with private terrace in the city centre. Close to Plaça Catalunya, Las Ramblas and all major sights, this luxurious apartment makes the perfect base for families or groups of friends to discover Barcelona. Filled with designer touches, beautiful detailing and high-end appliances for the perfect home away from home. <br /><br />Experience the suave intimacy of Cadaques, an apartment with a mellifluous blend of off-white, ochre and sandy hues that create a serene atmosphere, brightened with splashes of green from the tropical plants of the private terrace.<br /> <br />The open living and dining area is spacious and flanked by 2 bedrooms, each with an en-suite bathroom. Guest can expect top-end appliances in the fully equipped kitchen, excellent for whipping up exquisite dinners and classy c",DestinationBCN - Apartments,within an hour,91%,"Barcelona, Catalonia, Spain",Entire home/apt,4,"[""Kitchen"", ""Microwave"", ""Elevator"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""High chair"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Oven"", ""Dryer"", ""Luggage dropoff allowed"", ""Shampoo"", ""Washer"", ""Paid parking off premises"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Patio or balcony"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""TV"", ""Fire extinguisher"", ""Stove"", ""Host greets you"", ""Shower gel""]",179.0,t,10.0,10.0,10.0,T,2.16609,41.38609
102,Central Duplex with Private Terrace,"Bathe in the sun all day long on the open terrace, which also has a choice of comfortable seating. Head back through the sliding doors and into a cool, elegant apartment. It's richly endowed with designer furniture, including some chic lighting.<br /><br /><b>License number</b><br />HUTB-008249",Juan Carlos & Nina,within an hour,90%,"Barcelona, Spain",Entire home/apt,6,"[""Elevator"", ""Paid parking off premises"", ""Washer"", ""Wifi"", ""Air conditioning"", ""Bathroom essentials"", ""TV"", ""Kitchen"", ""Coffee maker"", ""Room-darkening shades"", ""Iron"", ""Dishwasher"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dryer"", ""Smoke alarm"", ""Heating"", ""Bedroom comforts""]",179.0,t,10.0,10.0,10.0,T,2.1747099999999997,41.393679999999996
103,APARTMENT BARCELONA near BEACH,"Nice apartment in the popular neighborhood of Poblenou. <br />Very well located just 10 minutes from the beach, and next to Rambla del Poblenou, with its charming terraces of bars and restaurants, where you can experience the local life of Barcelona.<br /><br /><b>The space</b><br />The apartment with wi-fi included in the price, has 3 bedrooms, 1 bathroom, living room, well equipped kitchen and 1 small balcony.<br />Air conditioning in the living room ..<br />It has capacity for sleeping up to 7 people, with the following distribution:<br />- Bedroom with 2 single beds, convertible into 1 double.<br />- Bedroom with bunk beds for 2 people and 1 additional bed that slides under.<br />- Bedroom with 2 single beds, convertible into 1 double.<br />We have cots for babies and high, on request and with extra cost of 25 euros for the total stay chair.<br /><br /><b>Guest access</b><br />ADDITIONAL SERVICES<br />- Baby cot and high chair<br />- Cleaning during the stay<br />- Personalized pic",Kristjan Y Ana,within a few hours,81%,"Barcelona, Catalonia, Spain",Entire home/apt,7,"[""Hot water"", ""Dishwasher"", ""Kitchen"", ""Wifi"", ""Essentials"", ""Washer"", ""Elevator"", ""Air conditioning"", ""First aid kit"", ""Paid parking off premises"", ""Coffee maker"", ""Long term stays allowed"", ""Oven"", ""TV"", ""Host greets you"", ""Microwave"", ""Stove"", ""Heating"", ""Hangers"", ""Cooking basics"", ""Shampoo"", ""Free street parking"", ""Iron"", ""Dishes and silverware"", ""Refrigerator"", ""Patio or balcony"", ""Hair dryer""]",178.0,t,9.0,10.0,9.0,T,2.19996,41.39945
104,107. Gold Small Apartment,"Apartment luxuriously decorated in gold, located in one of the most popular residential areas of the city of Barcelona. Just 10 minutes walking from the famous Tibidabo Blue Tram.<br /><br /><b>The space</b><br />Apartment luxuriously decorated in gold, located in one of the most popular residential areas of the city of Barcelona. Just 10 minutes walking from the famous Tibidabo Blue Tram and 10 minutes by public transport to Plaza Catalunya. It has one bedroom with double bed and bathroom ""suite"" and a bedroom with two single beds and a second bathroom. The dining room, decorated in detail, has a comfortable sofa bed and a dining area for eight people prepared. A vast and spacious kitchen, ready to cook all your dishes. AC WIFIHUTB 008581 96<br />The Sarria-Sant Gervasi is the fifth of the ten districts that administratively divided the city of Barcelona and first in per capita income. It is situated on the western edge of the city. It is surrounded by the districts of Horta-Guinardó,",Alcambarcelona,within an hour,99%,"Barcelona, Catalunya, Spain",Entire home/apt,6,"[""Refrigerator"", ""Wifi"", ""Host greets you"", ""Luggage dropoff allowed"", ""Electric stove"", ""Coffee maker"", ""Dishwasher"", ""Bed linens"", ""High chair"", ""TV"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Essentials"", ""Freezer"", ""Pocket wifi"", ""Dishes and silverware"", ""Paid parking garage off premises"", ""Microwave"", ""Cooking basics"", ""Crib"", ""Hair dryer"", ""Baby bath"", ""Hangers"", ""Oven"", ""Kitchen"", ""Iron"", ""Heating"", ""Dedicated workspace"", ""Long term stays allowed""]",177.0,t,8.0,8.0,9.0,T,2.14016,41.40506
105,Alaia 22 - Habitat Apartments,"This apartment is located in the central Eixample area full of bars, restaurants, stores and architectural spots. It preserves the traditional high ceiling, exposed wooden beams, big windows and balconies, yet it was recently renovated. Accommodating 5 people, the apartment has a spacious living room, a fully equipped kitchen with a dining area, two double bedrooms, a single bedroom and two bathrooms. The apartment features typical Eixample neighborhood balconies.   <br /><br />COVID-19 prevention:<br />Habitat Apartments complies with the Cleaning and Security protocols contained in the Order of the Ministry of Health SND/399/020, of May 9 regarding COVID-19. These protocols regulate:<br /> 1) The cleaning to be carried out in the apartments with appropriate products, replacement and cleaning of textiles.<br /> 2) The security and prevention measures of the staff of Habitat Apartments and of our clients.<br /> 3) The necessary information to our clients about the competent regulations",Habitat Apartments,within an hour,94%,"Barcelona, Spain",Entire home/apt,5,"[""Crib"", ""Kitchen"", ""Elevator"", ""Coffee maker"", ""Hair dryer"", ""Shampoo"", ""Air conditioning"", ""Washer"", ""TV"", ""High chair"", ""Dishwasher"", ""Wifi"", ""Iron"", ""Oven"", ""Heating"", ""Patio or balcony"", ""Essentials""]",175.0,t,9.0,9.0,10.0,T,2.15745,41.39331
106,Casa Cosi -Eixample 5,"Located in the central Eixample district, this elegant 4-bedroom apartment is perfect to enjoy the true Barcelonese experience. It is located in one of the best districts of Barcelona: The Eixample district, a very lively neighborhood filled with art galleries, trendy restaurants, cafes and bars; which makes it popular among tourists and locals alike.<br /><br /><b>The space</b><br />Like all Casa Cosi apartments, Casa Cosi - Eixample 5 has been furnished and decorated in order to create a cozy atmosphere. It has 4 bedrooms (three with a queen-size bed and the other with two simple beds) and 2 full bathrooms and can comfortably accommodate up to 8 persons. The spacious living room extends into a fully equipped kitchen where you can cook for the entire family. Perfect for big groups of friends or family, Casa Cosi - Eixample 5 will make your trip unforgettable!<br /><br /><b>License number</b><br />HUTB-004234",Casa Cosi,within a few hours,96%,"Barcelona, Catalonia, Spain",Entire home/apt,8,"[""Elevator"", ""Refrigerator"", ""Stove"", ""Wifi"", ""Coffee maker"", ""Dishwasher"", ""TV"", ""Hot water"", ""Washer"", ""Air conditioning"", ""Essentials"", ""Dishes and silverware"", ""Microwave"", ""Pack \u2019n Play/travel crib"", ""Paid parking off premises"", ""Cooking basics"", ""Hair dryer"", ""Dryer"", ""Hangers"", ""Oven"", ""Kitchen"", ""Iron"", ""Heating"", ""Dedicated workspace"", ""Long term stays allowed""]",174.0,t,10.0,10.0,10.0,T,2.1575,41.388040000000004
107,Explore Barcelona From a Cheerful Home,"Located in a typical Eixample building, this apartment features the original modernist tiled floor and an updated, colorful decor. From the chic artwork and patterned pillows to the plush furniture and bold feature walls, every room feels unique. License/registration number: HUTB-003995<br /><br />NEW MEASURES FOR COVID-19<br />We have changed our way of disinfecting by applying the regulations approved by the Ministry of Health so that your stay is safe. In these moments the contagious in Barcelona are unimportant and we are going out safely of the problem also the population is aware and taking action.<br /><br /><b>License number</b><br />HUTB-003995",Lola,within a few hours,88%,"Barcelona, Catalonia, Spain",Entire home/apt,8,"[""Crib"", ""Elevator"", ""Suitable for events"", ""Coffee maker"", ""Hair dryer"", ""Air conditioning"", ""Bathtub"", ""Washer"", ""Paid parking off premises"", ""TV"", ""Dishwasher"", ""Wifi"", ""Iron"", ""Self check-in"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Heating"", ""Full kitchen"", ""Bathroom essentials"", ""Bedroom comforts""]",173.0,t,10.0,10.0,10.0,T,2.1554900000000004,41.39459
108,Casa Cosi - Eixample 4,"Located in the central Eixample district, this elegant 2-bedroom apartment is perfect to enjoy the true Barcelonese experience. It is located in one of the best districts of Barcelona: The Eixample district, a very lively neighborhood filled with art galleries, trendy restaurants, cafes and bars; which makes it popular among tourists and locals alike.<br /><br /><b>The space</b><br />Like all Casa Cosi apartments, Casa Cosi - Eixample 4 has been furnished and decorated in order to create a cozy atmosphere. It has 4 bedrooms (three with a queen-size bed and the other with two simple beds) and 2 full bathrooms and can comfortably accommodate up to 8 persons. The spacious living room extends into a fully equipped kitchen where you can cook for the entire family. Perfect for big groups of friends or family, Casa Cosi - Eixample 4 will make your trip unforgettable!<br /><br /><b>License number</b><br />HUTB-004231",Casa Cosi,within a few hours,96%,"Barcelona, Catalunya, Spain",Entire home/apt,8,"[""Kitchen"", ""Microwave"", ""Elevator"", ""Coffee maker"", ""Long term stays allowed"", ""Hot water"", ""Cooking basics"", ""Dedicated workspace"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Oven"", ""Dryer"", ""Washer"", ""Paid parking off premises"", ""Pack \u2019n Play/travel crib"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Patio or balcony"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Essentials"", ""TV"", ""Stove""]",172.0,t,10.0,10.0,9.0,T,2.1576299999999997,41.3876
109,Lovely apartment with a terrace,"Lovely 2 bedroom apartment with a big terrace, living / dining room, kitchen and bathroom. It is perfectly equipped including air-con and heating, WIFI internet, TV etc. Located in the trendy area El Born.<br /><br /><b>The space</b><br />This is a cosy apartment with a large terrace (shared with the neighbours but almost always private) which is perfect to sunbathe, have candlelight diners or enjoy the view from the city. It is located right next to the Market “Mercat de Santa Catalina” with its Delicatessen shops and variety of tapas restaurants and wine bars.<br />It has been tastefully decorated with antic furniture and nice materials and it is perfectly equipped with everything the traveller might need. There is a living dining room with a sofa, TV, WIFI internet and a table for 4 people. The kitchen includes a microwave, a washing machine, a dish washer, a coffee maker, a toaster and a kettle. The 2 bedrooms (1 double and 1 twin) share a bathroom with a small tub and a hair dryer",Simona & Pia,within a day,83%,"Barcelona, Catalonia, Spain",Entire home/apt,3,"[""Kitchen"", ""Microwave"", ""Long term stays allowed"", ""Coffee maker"", ""Hot water"", ""Cooking basics"", ""Dishwasher"", ""Hangers"", ""Iron"", ""Private entrance"", ""Oven"", ""Washer"", ""Paid parking off premises"", ""Wifi"", ""Refrigerator"", ""Heating"", ""Patio or balcony"", ""Crib"", ""Hair dryer"", ""Air conditioning"", ""Dishes and silverware"", ""Bed linens"", ""Essentials"", ""TV"", ""Fire extinguisher"", ""Stove"", ""Host greets you""]",171.0,t,9.0,9.0,10.0,T,2.17868,41.38519
